site,xmin,ymin,xmax,ymax
1,148.870584,-34.071833,148.882811,-34.06176
2,148.894068,-34.055298,148.906295,-34.045224
3,148.846482,-34.030466,148.858702,-34.020396
4,148.860261,-34.084878,148.872489,-34.074806
5,148.863202,-34.191396,148.875442,-34.18132
6,148.71817,-34.514779,148.730437,-34.504705
7,148.723899,-34.56534,148.736173,-34.555265
8,148.834405,-34.733199,148.846707,-34.723113
9,148.849369,-34.767119,148.861676,-34.757031
10,148.847143,-34.792183,148.859452,-34.782095
11,148.986682,-34.935764,148.999019,-34.925664
12,148.99551,-35.020359,149.007857,-35.010257
13,149.014575,-34.040902,149.026809,-34.03082
14,149.041065,-35.060003,149.05342,-35.049897
15,149.025278,-35.121725,149.037639,-35.111619
16,149.009318,-35.25908,149.021694,-35.24897
17,148.999475,-35.286411,149.011854,-35.276301
18,148.958041,-35.270475,148.970415,-35.260369
19,148.914461,-35.284816,148.926833,-35.274712
20,148.906617,-35.29463,148.91899,-35.284526
21,148.993307,-35.358447,149.005694,-35.348337
22,149.040604,-35.479155,149.053009,-35.469039
23,149.042832,-35.503976,149.05524,-35.493858
24,149.081714,-35.506096,149.094125,-35.495976
25,149.080582,-35.488813,149.092991,-35.478693
26,149.135345,-35.360316,149.147743,-35.350196
27,149.042976,-35.182766,149.055346,-35.172656
28,149.027792,-35.266661,149.040171,-35.256551
29,148.953166,-35.414649,148.965557,-35.404539
30,149.052283,-35.591821,149.064702,-35.581701
