site,xmin_4326,ymin_4326,xmax_4326,ymax_4326,xmin_3577,ymin_3577,xmax_3577,ymax_3577
1,148.870584,-34.071833,148.882811,-34.06176,1545067.2922,-3820923.362,1546067.2922,-3819923.362
2,148.894068,-34.055298,148.906295,-34.045224,1547448.5709,-3819380.2101,1548448.5709,-3818380.2101
3,148.846482,-34.030466,148.858702,-34.020396,1543479.1912,-3816060.0996,1544479.1912,-3815060.0996
4,148.860261,-34.084878,148.872489,-34.074806,1543936.0619,-3822240.183,1544936.0619,-3821240.183
5,148.863202,-34.191396,148.875442,-34.18132,1542641.0981,-3834045.821,1543641.0981,-3833045.821
6,148.71817,-34.514779,148.730437,-34.504705,1524748.2084,-3868024.3652,1525748.2084,-3867024.3652
7,148.723899,-34.56534,148.736173,-34.555265,1524532.7587,-3873675.7136,1525532.7587,-3872675.7136
8,148.834405,-34.733199,148.846707,-34.723113,1532092.5351,-3893526.7444,1533092.5351,-3892526.7444
9,148.849369,-34.767119,148.861676,-34.757031,1532949.9037,-3897449.3657,1533949.9037,-3896449.3657
10,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.3213,1533381.686,-3899188.3213
11,148.986682,-34.935764,148.999019,-34.925664,1542881.0048,-3917706.8045,1543881.0048,-3916706.8045
12,148.99551,-35.020359,149.007857,-35.010257,1542429.7031,-3927142.1113,1543429.7031,-3926142.1113
13,149.014575,-34.040902,149.026809,-34.03082,1558634.7244,-3819254.305,1559634.7244,-3818254.305
14,149.041065,-35.060003,149.05342,-35.049897,1545953.0352,-3932063.7041,1546953.0352,-3931063.7041
15,149.025278,-35.121725,149.037639,-35.111619,1543617.1663,-3938677.0101,1544617.1663,-3937677.0101
16,149.009318,-35.25908,149.021694,-35.24897,1540151.2262,-3953622.6957,1541151.2262,-3952622.6957
17,148.999475,-35.286411,149.011854,-35.276301,1538862.0893,-3956515.742,1539862.0893,-3955515.742
18,148.958041,-35.270475,148.970415,-35.260369,1535367.9121,-3954261.199,1536367.9121,-3953261.199
19,148.914461,-35.284816,148.926833,-35.274712,1531234.8384,-3955318.4585,1532234.8384,-3954318.4585
20,148.906617,-35.29463,148.91899,-35.284526,1530384.902,-3956305.9321,1531384.902,-3955305.9321
21,148.993307,-35.358447,149.005694,-35.348337,1537245.0313,-3964378.4331,1538245.0313,-3963378.4331
22,149.040604,-35.479155,149.053009,-35.469039,1539714.223,-3978243.976,1540714.223,-3977243.976
23,149.042832,-35.503976,149.05524,-35.493858,1539547.566,-3981004.1983,1540547.566,-3980004.1983
24,149.081714,-35.506096,149.094125,-35.495976,1543007.5436,-3981706.7891,1544007.5436,-3980706.7891
25,149.080582,-35.488813,149.092991,-35.478693,1543161.888,-3979789.8924,1544161.888,-3978789.8924
26,149.135345,-35.360316,149.147743,-35.350196,1549989.4973,-3966300.5853,1550989.4973,-3965300.5853
27,149.042976,-35.182766,149.055346,-35.172656,1544309.4288,-3945618.9232,1545309.4288,-3944618.9232
28,149.027792,-35.266661,149.040171,-35.256551,1541702.0605,-3954680.9857,1542702.0605,-3953680.9857
29,148.953166,-35.414649,148.965557,-35.404539,1532808.7195,-3970087.4577,1533808.7195,-3969087.4577
30,149.052283,-35.591821,149.064702,-35.581701,1539097.421,-3990790.6243,1540097.421,-3989790.6243
