site,xmin_3577,ymin_3577,xmax_3577,ymax_3577
1,1545067.2922,-3820923.362,1546067.2922,-3819923.362
2,1547448.5709,-3819380.2101,1548448.5709,-3818380.2101
3,1543479.1912,-3816060.0996,1544479.1912,-3815060.0996
4,1543936.0619,-3822240.183,1544936.0619,-3821240.183
5,1542641.0981,-3834045.821,1543641.0981,-3833045.821
6,1524748.2084,-3868024.3652,1525748.2084,-3867024.3652
7,1524532.7587,-3873675.7136,1525532.7587,-3872675.7136
8,1532092.5351,-3893526.7444,1533092.5351,-3892526.7444
9,1532949.9037,-3897449.3657,1533949.9037,-3896449.3657
10,1532381.686,-3900188.3213,1533381.686,-3899188.3213
11,1542881.0048,-3917706.8045,1543881.0048,-3916706.8045
12,1542429.7031,-3927142.1113,1543429.7031,-3926142.1113
13,1558634.7244,-3819254.305,1559634.7244,-3818254.305
14,1545953.0352,-3932063.7041,1546953.0352,-3931063.7041
15,1543617.1663,-3938677.0101,1544617.1663,-3937677.0101
16,1540151.2262,-3953622.6957,1541151.2262,-3952622.6957
17,1538862.0893,-3956515.742,1539862.0893,-3955515.742
18,1535367.9121,-3954261.199,1536367.9121,-3953261.199
19,1531234.8384,-3955318.4585,1532234.8384,-3954318.4585
20,1530384.902,-3956305.9321,1531384.902,-3955305.9321
21,1537245.0313,-3964378.4331,1538245.0313,-3963378.4331
22,1539714.223,-3978243.976,1540714.223,-3977243.976
23,1539547.566,-3981004.1983,1540547.566,-3980004.1983
24,1543007.5436,-3981706.7891,1544007.5436,-3980706.7891
25,1543161.888,-3979789.8924,1544161.888,-3978789.8924
26,1549989.4973,-3966300.5853,1550989.4973,-3965300.5853
27,1544309.4288,-3945618.9232,1545309.4288,-3944618.9232
28,1541702.0605,-3954680.9857,1542702.0605,-3953680.9857
29,1532808.7195,-3970087.4577,1533808.7195,-3969087.4577
30,1539097.421,-3990790.6243,1540097.421,-3989790.6243
