group,location,site_id,x_centre_4326,y_centre_4326,xmin_4326,ymin_4326,xmax_4326,ymax_4326,xmin_3577,ymin_3577,xmax_3577,ymax_3577,year,date,observation_count,notes
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2021,2021/1/13,2,
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2020,2020/5/25,,
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2018,2018/9/29,,
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2017,2017/8/14,,
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2016,2016/10/14,,
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2013,2013/10/31,,
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2020,2020/5/24,,
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2013,2013/10/29,,
"NSW, Hovells Creek",Stuart's,1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,2013,2013/1/23,,
"NSW, Hovells Creek",Keith's,2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,2021,2021/1/13,2,
"NSW, Hovells Creek",Keith's,2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,2020,2020/5/25,,
"NSW, Hovells Creek",Keith's,2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,2018,2018/9/29,,
"NSW, Hovells Creek",Keith's,2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,2017,2017/8/14,,
"NSW, Hovells Creek",Keith's,2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,2016,2016/10/14,,
"NSW, Hovells Creek",Keith's,2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,2013,2013/10/31,,
"NSW, Hovells Creek",Keith's,2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,2020,2020/5/24,,(some cloud)
"NSW, Hovells Creek",Keith's,2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,2013,2013/10/29,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2021,2021/1/13,2,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2020,2020/5/25,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2018,2018/9/29,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2017,2017/8/14,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2016,2016/10/14,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2015,2015/11/16,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2014,2014/2/11,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2013,2013/10/31,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2020,2020/5/24,,(cloud)
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2013,2013/10/29,,
"NSW, Hovells Creek",Bennett Springs Rd,3,148.8525917,-34.02543056,148.846482,-34.030466,148.858702,-34.020396,1543479.191,-3816060.1,1544479.191,-3815060.1,2013,2013/1/23,,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2021,2021/1/13,2,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2020,2020/5/25,,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2018,2018/9/29,,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2017,2017/8/14,,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2016,2016/10/14,,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2013,2013/10/31,,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2020,2020/5/24,,(some cloud)
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2013,2013/10/29,,(cloud)
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2013,2013/1/23,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2021,2021/1/13,2,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2020,2020/5/25,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2018,2018/9/29,,
