"group","location","site_id","x_centre_4326","y_centre_4326","xmin_4326","ymin_4326","xmax_4326","ymax_4326","xmin_3577","ymin_3577","xmax_3577","ymax_3577","image_id","image_date","image_count","QC_notes"
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20210113",2021-01-13,2,NA
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20200525",2020-05-25,1,NA
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20180929",2018-09-29,1,NA
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20170814",2017-08-14,1,NA
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20161014",2016-10-14,1,NA
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20131031",2013-10-31,1,NA
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20200524",2020-05-24,1,NA
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20131029",2013-10-29,1,NA
"NSW Hovells Creek","Stuarts",1,148.8766972,-34.06679722,148.870584,-34.071833,148.882811,-34.06176,1545067.292,-3820923.362,1546067.292,-3819923.362,"20130123",2013-01-23,1,NA
"NSW Hovells Creek","Keiths",2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,"20210113",2021-01-13,2,NA
"NSW Hovells Creek","Keiths",2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,"20200525",2020-05-25,1,NA
"NSW Hovells Creek","Keiths",2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,"20180929",2018-09-29,1,NA
"NSW Hovells Creek","Keiths",2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,"20170814",2017-08-14,1,NA
"NSW Hovells Creek","Keiths",2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,"20161014",2016-10-14,1,NA
"NSW Hovells Creek","Keiths",2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,"20131031",2013-10-31,1,NA
"NSW Hovells Creek","Keiths",2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,"20200524",2020-05-24,1,"some cloud"
"NSW Hovells Creek","Keiths",2,148.9001806,-34.05026111,148.894068,-34.055298,148.906295,-34.045224,1547448.571,-3819380.21,1548448.571,-3818380.21,"20131029",2013-10-29,1,NA
